name,city,province,country,governing_body,org_type,id
"Anaheim Jr Ducks","Anaheim","CA","US","CAHA","association","689d5d98-6bc2-4faa-b851-5d30aa8dcdb2"
"Anaheim Lady Ducks","Anaheim","CA","US","CAHA","association","8977df01-e29f-4fec-8426-9853d76aca1b"
"Ancaster Avalanche","Ancaster","ON","CA","OWHA","association","f1779289-8180-413e-8a36-5fa7fedf6ded"
"Anchorage North Stars","Anchorage","AK","US","ASHA","association","ce0bc223-251c-48ef-9673-b11db1d8a750"
"Andover Golden Warriors","Andover","MA","US","MYCGL","association","0ef66405-73c4-4341-8a54-caab673dcd26"
"Andover Huskies","Andover","MN","US","MN10","association","71236a4e-547c-48cb-89ae-b088d94d2526"
"Anjou Express","Montreal","QC","CA","MON","association","cd599a64-66b8-4716-913c-222bcc87ab6e"
"Anoka Tornadoes","Anoka","MN","US","MN10","association","f735da38-7cc2-47e2-9943-170cbaa7af2b"
"Anoka/CP/CR Swarm","Anoka","MN","US","MN10","association","90c30a4d-0a89-42e3-89bc-1d9a63c9d7f7"
"Antigo Red Robins","Antigo","WI","US","WAHA","association","d21eedc3-c087-4ccc-8ed9-170e8b8d0297"
"Antigonish Bulldogs","Antigonish","NS","CA","NCHL","association","0b34f7f6-d9ef-41ad-ba31-333f66eb67db"
"Apple Valley Burnsville Eagles","Apple Valley","MN","US","MN08","association","b059aab3-9b7c-4b26-b21a-a4746a0fc50a"
"Appleton Avalanche","Appleton","WI","US","WAHA","association","91af193b-9ca2-4dba-be15-ec368c2df561"
"Applewood Coyotes","Mississauga","ON","CA","MHL","association","dc8d35c4-2a99-43dd-be56-2399d9f10316"
"Arapahoe Warriors","Centennial","CO","US","CAHA-CO","association","62af6dff-4c7b-41c6-a875-da4c312eec38"
"Arborg Falcons","Arborg","MB","CA","IMH","association","5c2d91a9-b887-403f-9cc6-35e2c9e5b45d"
"Arbutus Club Avalanche","Vancouver","BC","CA","PCAHA","association","c862824f-f837-450e-93f1-859cd2827c06"
"Arcola Combines","Arcola","SK","CA","MMMHL","association","07dc5d6b-e0f2-4596-8d27-d02528ae087c"
"Arizona Bobcats","Chandler","AZ","US","AZYHL","association","24a139dd-ec01-46ab-86de-aed101432f24"
"Arizona Hockey Union","Gilbert","AZ","US","AZYHL","association","6b18bca3-2e4d-4293-8d7e-67f9d86a411b"
"Arizona Jr Sun Devils","Tempe","AZ","US","AZYHL","association","d633629c-d14b-41e5-ab28-933e4c3d553c"
"Arizona Kachinas","Phoenix","AZ","US","AZYHL","association","8e75acdd-18df-43b0-af0f-386b729a52d5"
"Arizona Titans","Phoenix","AZ","US","AZYHL","association","42a5bc10-9f68-42ea-a0fd-4b4cdbb1ad65"
"Arlington Spy Ponders","Arlington","MA","US","MYCGL","association","268b9bfb-3d15-41ea-9121-4183fd9d8d00"
"Armand Saint Onge Ecole","Amqui","QC","CA","RSEQ","association","7d408ef7-d62d-4bfd-87b7-caeee40f33be"
"Armstrong Arrows","Kittanning","PA","US","PAHL","association","4b48fe65-9d09-4b48-954b-1959eec76c6f"
"Armstrong Cooper Wings","New Hope","MN","US","MN03","association","297be95c-20ab-4399-96cf-2e82c32037ab"
"Arnprior Packers","Arnprior","ON","CA","UOVMHL","association","50c8c419-17f1-4a0c-88eb-8a045a1f24db"
"Arran-Elderslie Ice Dogs","Paisley","ON","CA","OMHA","association","b59a36c2-c853-4aa3-adb9-426812bbafbf"
"Arrowhead Hawks","Hartland","WI","US","WAHA","association","50c610c1-c1ee-4fef-b8a3-c9ade9e9d706"
"Arthur Vipers","Arthur","ON","CA","OMHA","association","c9a6a5be-f03b-4d6a-8b14-ff442ee3fd3a"
"Arvada","Arvada","CO","US","CAHA-CO","association","52623d96-ae46-4ce0-9fad-bf3823bc58f6"
"Arvida Polyvalente","Jonquiere","QC","CA","RSEQ","association","7a87e229-cde0-44b8-af36-0cdef18adbc8"
"Asbestos Hawks","Asbestos","QC","CA","Estrie","association","5b634162-cde0-4a65-926b-923ed4bbec67"
"Ashburn Edge","Ashburn","VA","US","CBHL","association","10d9af84-8202-46a3-b86d-2378e62fe712"
"Ashburn Xtreme","Ashburn","VA","US","AHF","association","e8a6d8a0-2830-47a3-b73c-299f9222c71e"
"Ashern","Ashern","MB","CA","IMH","association","46843af2-0151-4303-b68a-4bbbbe9a8c39"
"Ashland Demons","Ashland","MA","US","VHL","association","f7199a14-daa0-4a71-9b48-486cf9ef1b29"
"Ashland Oredockers","Ashland","WI","US","WAHA","association","47d1f7d8-6145-46db-975a-030a6b5c6bd5"
"Aspen Leafs","Aspen","CO","US","CGHL-CO","association","65e9bdbe-1a3c-459f-942f-6e96afddad01"
"Assabet Valley","Concord","MA","US","NEGHL","association","cf91e103-0c3e-4e1f-91b2-44df0c060ad1"
"Assabet Valley Patriots","Concord","MA","US","E9HL","association","3ab6a85d-3ccf-4ffa-898d-813c9a84bd16"
"Assiniboia Rebels","Assiniboia","SK","CA","SSHL","association","408311e4-5450-4067-89fb-131e0b47f032"
"Assiniboine Park Winterhawks","Winnipeg","MB","CA","WMHA","association","1d814e31-d426-4b79-baf5-4d417ce3ce41"
"Atanukan","Sept-Iles","QC","CA","BSL","association","85338e23-6e18-4a82-b2c7-50c6f6a3ffc5"
"Athabasca Hawks","Athabasca","AB","CA","NEAHL","association","9e47d9e4-1ab0-4658-a53b-58c4566156d9"
"Athens Bobcats","Athens","OH","US","BTHL","association","a66d3e01-b8cc-49e2-89a0-8b2515838bd8"
"Athens Ice Sirens","Athens","GA","US","SGHL","association","af48d3c5-3f30-47f5-bc32-772a3842ea7a"
"Atikokan Voyageurs","Atikokan","ON","CA","HNO","association","8feb7b49-4a16-4879-81a3-9ddd4dbda75c"
"Atlanta Center Ice","Sandy Springs","GA","US","SYTHL","association","bcadbc25-d862-47dd-9646-9e961110b1ef"
"Atlanta Ice Bandits","Cumming","GA","US","SYTHL","association","1560394f-196c-4dad-a4d8-7fdd92acb852"
"Atlanta Ice Lynx","Alpharetta","GA","US","SGHL","association","0249ab54-a84f-4f3a-af35-628e9e70fd8b"
"Atlanta Madhatters","Marietta","GA","US","SESCL","association","c2f331ec-aeb9-4cd6-9caa-5d117bd77ae2"
"Atlanta Phoenix","Duluth","GA","US","SESCL","association","d45c1881-99ba-49d4-9d5b-8bb5c9f1ba5b"
"Atlantic City Sharks","Atlantic City","NJ","US","EJEPL","association","f1b40f68-6aa4-42da-bc52-91acaafe604d"
