name,city,province,country,governing_body,org_type,id
"Clifton Park Eagles","Clifton Park","NY","US","NNYSHL","association","1abbbf35-89ea-444a-803e-99378b41ecd5"
"Clinton Comets","Clinton","NY","US","CNY","association","319a1287-980d-4ed6-924b-cecaeccb641a"
"Clive Blackhawks","Clive","AB","CA","CAHL","association","8da0b4b6-c6bf-4147-b301-5647e6331491"
"CLL Ambassadeurs","Charlemagne","QC","CA","LH3L","association","be24bfe2-5503-4bbe-961f-68a2eb172298"
"Cloquet Lumberjacks","Cloquet","MN","US","MN11","association","d7cbc535-53da-4ceb-ae6c-5f3b60319d33"
"Cloverdale Colts","Cloverdale","BC","CA","PCAHA","association","986a51c4-b8bb-4b03-8e32-239cb1b55a4f"
"CNN Spurs","Gibbons","AB","CA","NEAHL","association","3e45be60-8d4b-418b-a7d4-e25ff538c1e9"
"CNY Bobcats","Clinton","NY","US","Indep-G","association","5f04f401-bfcd-4707-950a-c298a35a0dd5"
"Coach Sam Hockey","Burlington","ON","CA","","association","704b33a4-9609-4a6d-bfe8-c1ca34a5015d"
"Coachella Valley Jr Firebirds","Cathedral City","CA","US","CAHA","association","565adc9b-358a-4361-82de-2ac976d807ae"
"Coaldale Cobras","Coaldale","AB","CA","CAHL","association","49c24636-5fb8-46d9-90ad-87647d09a80a"
"Coastal North","Baie Comeau","QC","CA","LHEQ","association","b5c31382-15f6-4491-8fe7-7e581d69eabc"
"Coaticook Frontaliers","Coaticook","QC","CA","Estrie","association","f45050ac-8389-4c59-8418-dc4debe79d20"
"Cochrane","Cochrane","ON","CA","NEOHA","association","b5a508e0-f332-4df9-8f8a-8df3ac31e8bb"
"Cochrane Rockies","Cochrane","AB","CA","CAHL","association","ea6de229-cb01-4a72-8276-5968b26a839c"
"Coeur d'Alene Thunder","Coeur d'Alene","ID","US","IAHA","association","9a29e074-0348-4939-b9d9-1862af87be3d"
"Colborne Fire Hawks","Colborne","ON","CA","OMHA","association","6892802b-4c42-474a-87cc-12c3d95ac50e"
"Cold Creek Comets","Trenton","ON","CA","OWHA","association","a01912e0-749c-4314-989e-969f21d0269f"
"Cold Lake Ice","Cold Lake","AB","CA","NEAHL","association","20b93a7f-4759-494e-8caa-b772a7c1d580"
"Coldwater Wildcats","Coldwater","ON","CA","MOMHL","association","63a1a63a-2cbc-4f19-a18c-c15205789b3e"
"Cole Harbour Wings","Cole Harbour","NS","CA","CMHF","association","e866f654-eb9c-4186-96cd-70f7bfc5afa0"
"College Charles Lemoyne Dynamiques","Ste Catherine","QC","CA","LHEQ","academy","73533f7e-bee3-446b-9d34-518f259d9cef"
"College Francais Rive-Sud","Longueuil","QC","CA","LHEQ","academy","d1e852fd-6799-4af9-9bda-3dd18f725d8c"
"College Francais Selects","Longueuil","QC","CA","LHER","academy","d3a79484-5f7d-41ae-a24f-e72b90fc9ee7"
"Collines Wolves","Chelsea","QC","CA","LHRO","association","90dc9845-7d13-489c-ae76-58302993fb93"
"Collingwood Jr Blues","Collingwood","ON","CA","OMHA","association","bd8ebe1b-8d44-4918-9580-1e102a2e2a24"
"Collingwood Lightning","Collingwood","ON","CA","OWHA","association","18f537fe-7335-40ef-983c-48c8c83f2e1a"
"Colorado 14ers","Littleton","CO","US","CAHA-CO","association","46666a26-3268-4984-8535-a199c2f6cfbb"
"Colorado Extreme","El Jebel","CO","US","Independent","association","15c27d3d-4b68-4fdf-8da7-13cdaada02ba"
"Colorado Rampage","Monument","CO","US","CAHA-CO","association","280955f3-f6de-4f55-80de-074e2ac00f2b"
"Colorado Springs Tigers","Colorado Springs","CO","US","CAHA-CO","association","0284ec86-829d-4c65-987f-529f7071a28b"
"Colorado Thunderbirds","Denver","CO","US","CAHA-CO","association","b643288c-bf9b-435a-9bc1-c6b9ed18e394"
"Columbia Cyclones","Columbia","SC","US","ACHC","association","2a64129d-104c-40d4-836c-1157904e98f7"
"Columbus Blue Jackets","Columbus","OH","US","CGHL-CE","association","445a8f7c-666b-4c38-ba9e-b4d68711baf0"
"Columbus Capitals","Columbus","OH","US","MCHL","association","3b76448d-5958-429f-a822-fd40f127a36d"
"Columbus Chill","Columbus","OH","US","Independent","association","fd5a764b-a25c-49a6-83e6-3247eb5ed57c"
"Columbus Cottonmouths","Columbus","GA","US","SYTHL","association","8d4b240a-acf5-4788-bc98-2193fe7b5b11"
"Columbus EDP Spiders","Columbus","OH","US","MCHL","association","4db90e81-a9bd-4d2a-90c0-4ffdc18dd08d"
"Columbus Flames","Columbus","IN","US","BTHL","association","873c4b4d-154f-45a7-9a64-fc9205aaa27d"
"Columbus Mavericks","Columbus","OH","US","BTHL","association","e7882f1e-2f40-4726-9988-011797d0efe5"
"Comox Valley Flyers","Courtenay","BC","CA","VIHL","association","9ab76b91-bf44-4a8e-ba11-8af6f426442d"
"Compuware","Plymouth","MI","US","LCAHL","association","74c7840f-fcd1-4792-b42b-c6d9a63cdc3c"
"Concord Capitals","Concord","NH","US","NHAHA","association","1678cb6b-417c-4749-a154-fed19d0a05bc"
"Concord-Carlisle Patriots","Concord","MA","US","VHL","association","0b8d1192-1458-4e6d-8aae-e725610222b7"
"Confederation HC","Edmonton","AB","CA","EFHL","association","83034e5e-5199-48da-8842-9098b1bcc996"
"Connecticut Chiefs","Newington","CT","US","BEAST","association","2f736184-4072-4349-87b0-31730bc0e788"
"Connecticut Clippers","Milford","CT","US","AHF","association","86b27bf4-16b4-4a0f-87da-220561276e01"
"Connecticut Elite","West Haven","CT","US","AYHL","association","3445758f-65e6-44eb-86e7-c6fea8165464"
"Connecticut Game Change","West Hartford","CT","US","CHC","association","a5f1572d-ef78-4faf-a85d-cad8a37666d9"
"Connecticut Hat Tricks","Danbury","CT","US","CGHL-CT","association","0f1152c6-dcce-4085-943a-765916971960"
"Connecticut Ice Cats","Darien","CT","US","AGHF","association","01dba0b1-b1c3-4a8b-82cf-61830e9991c2"
"Connecticut Jr Huskies","Storrs","CT","US","CHC","association","149f3af5-e729-4dd6-8c2d-15573fdb5792"
"Connecticut Jr Rangers","Stamford","CT","US","CHC","association","b15618ee-c1be-4fae-98f6-670a35126472"
"Connecticut Polar Bears","Shelton","CT","US","CHC","association","9ab3d56f-3213-4baf-a65e-757c686c65c6"
"Connecticut Riverhawks","Shelton","CT","US","CHC","association","102deefe-b416-425e-9e03-8617ec755cf2"
"Coon Rapids Cardinals","Coon Rapids","MN","US","MN10","association","4896ba58-5458-4873-a3fa-ebea3dc53c0c"
"Copper Cliff Reds","Copper Cliff","ON","CA","NDMHL","association","920a29d9-986f-48ef-beb3-b94df732ae2b"
"Copper Country Jr Huskies","Houghton","MI","US","CUP","association","f8c0105e-59ac-4b69-b921-c437c52f4c68"
"Coquitlam Comets","Coquitlam","BC","CA","PCAHA","association","18ccce95-7084-4ed2-a6c7-41b0cecee2bc"
"Corner Brook Royals","Corner Brook","NL","CA","Independent","association","788fee78-2ed2-489a-9c12-e467aaa56a81"
"Cornwall Colts","Cornwall","ON","CA","UCMHL","association","e5c11cec-e8c5-4dba-914c-0b01aa4d0914"
"Cornwall Typhoons","Cornwall","ON","CA","OWHL-E","association","be0617c3-5b07-4e47-bc88-09b7ad10bda5"
"Cortland Flames","Cortland","NY","US","CNY","association","2b57a3ab-9083-4e7f-84aa-909575b05204"
"Cote Selects","Cote","SK","CA","MHL-SK","association","acfff24b-95ff-4a15-a86f-4e75f0928dad"
"Cote St Luc Canucks","Cote St Luc","QC","CA","LHGM","association","468d7db8-3440-4a81-a20f-a6812e360b35"
"Coteau Ecole","Mascouche","QC","CA","RSEQ","association","747eaea1-e5c0-4d76-9f66-c714baa49ed9"
"Cottage Grove Wolfpack","Cottage Grove","MN","US","MN08","association","fcd6f3f7-8897-423d-93c9-2a068db0f0e1"
"Cowansville Huskies","Cowansville","QC","CA","Estrie","association","32caac4a-cd33-457b-9ac2-e967fc775c27"
"Cowichan Valley Jr Capitals","Duncan","BC","CA","VIHL","association","8663f37b-f0ed-4d0d-8905-a91005002ddd"
"CR Knights","Calahoo","AB","CA","NEAHL","association","1754ec9f-d6d0-4217-8cad-9284a322a10e"
"Craig Bulldogs","Craig","CO","US","Independent","association","a3440f9a-b579-4375-91df-addd74284f35"
"Cranberry Portage","Cranberry Portage","MB","CA","Norman","association","40d7f994-12ea-4450-840e-faed94dbf4e2"
"Cranbrook Jr Bucks","Cranbrook","BC","CA","WKMHA","association","1ca7606b-4b09-4fbe-9a6f-4f4bbc10ce66"
"Cranford Hockey Club","Roselle","NJ","US","EJEPL","association","4c499b95-a2ff-4801-8f02-41c843c1bcf2"
"Crawford County Flames","Meadville","PA","US","PAHL","association","214022e8-18dc-492d-af9c-8ea471ac43fc"
"Credit River Capitals","Brampton","ON","CA","OMHA","association","3e6de25e-91ed-476e-887d-d2bad68d6835"
"Cree Nation Bears","Waswanipi","QC","CA","Abitibi","association","e55aeda3-8ae8-4a02-a5e2-76a1bfaf8eb0"
"Cremona Cowboys","Cremona","AB","CA","CAHL","association","573b1d71-fa6b-4db8-868c-e15ce857286a"
"Creston Valley","Creston","BC","CA","EKL","association","988723ff-9fd9-4bb9-a9e9-63b1c308781d"
"Crimson HC","Stoughton","MA","US","PHL","association","abe219c7-d220-4933-86f4-27d0395108aa"
"Crimson Pride","Stoughton","MA","US","NEGHL","association","99e25f90-0245-4432-9edc-9332344193eb"
"Cristeros Hockey Club","Coeur d'Alene","ID","US","IAHA","association","f731deb2-4e81-4dad-9bae-c6728c1153d5"
"Crookston Pirates","Crookston","MN","US","MN16","association","2970e3c5-a6d5-4d63-b1e6-c6089015510b"
"Crosby Comets","Crosby","ND","US","NDAHA","association","c34f42af-3a05-466f-b2f3-50dc1f912f03"
"Cross Lake Islanders","Cross Lake","MB","CA","Norman","association","c88d2cc7-6e0c-48b1-979d-ee005d3a44ea"
"Crossfield Ice Hawks","Crossfield","AB","CA","CAHL","association","f048f1ad-96e4-41ab-96d8-f1c7f99cf772"
"Crowsnest Pass Thunder","Coleman","AB","CA","CAHL","association","14343efe-3624-4064-9033-d0c8e7670f28"
"Crystal Lake Yellowjackets","Crystal Lake","IL","US","CSDHL","association","2d244a15-d5fa-4452-890b-75014cfae892"
"CSB Hawks","South Burlington","VT","US","VSAHA","association","35633e7a-d1e7-46e9-a9dd-923823fc2653"
"CSRA Royaux","St Augustin","QC","CA","Rive-Nord","association","72c4acd9-e649-4774-917f-cf161b963dc4"
"Cudworth Stars","Cudworth","SK","CA","SVMHL","association","9352ef12-30f0-4434-92b0-a057ef0f688f"
"Culver Academies","Culver","IN","US","PHC","association","67f4d9dc-7c74-4347-b68a-7d4d94a7847b"
"Cumberland Islanders","Cumberland","WI","US","WAHA","association","a8f44936-d7c3-43b6-841c-c2c46062eae5"
"Cumberland Jr Grads","Cumberland","ON","CA","HEO","association","2cb4dd6e-bdcf-4a7e-ae33-58b0760bbf3c"
"Cumberland Ramblers","Amherst","NS","CA","NCHL","association","c53d9c98-453c-491c-b654-9994c3724c9a"
"Cupar Canucks","Cupar","SK","CA","Mainline","association","9185cf94-cc45-4a1e-9fe0-14aa5f045609"
"Cure Mercure Ecole","Mont Tremblant","QC","CA","RSEQ","association","b684c372-680a-4059-8087-8b3fa353a2c0"
"Current River Comets","Thunder Bay","ON","CA","HNO","association","4ab70c2a-8542-4d69-ae01-a88a5ecde413"
"Cutting Edge King Cobras","Elmwood Park","NJ","US","NJYHL","association","298f497a-c679-4dc6-9063-152ec103a44a"
"Dallas Penguins","Plano","TX","US","THL","association","6be738fe-99c6-456e-b467-7b385e80048b"
"Dallas Stars Elite","Dallas","TX","US","NGHL","association","617a270f-570b-4e2e-afc5-30f1bb344362"
"Dalmeny Sabres","Dalmeny","SK","CA","SVMHL","association","0bd273be-58d4-4e6a-88e1-1c1d2bb1f0a8"
"Danbury Jr Hat Tricks","Danbury","CT","US","AYHL","association","b46113bd-eb1b-4685-8c8f-3fa51fe2b562"
"Danvers Falcons","Danvers","MA","US","MYCGL","association","39a5a06a-840f-47a1-9ac6-ba6e2e998af5"
"Danville Freeze","Danville","IL","US","Independent","association","e3899cd0-fc0b-4757-a08e-0eee1927c0af"
"Darien Youth","Darien","CT","US","AHF","association","5805a02a-c5e2-4aff-8ab5-b6199eebcb10"
"Dartmouth Whalers","Dartmouth","NS","CA","CMHF","association","9d418856-6df4-4c96-a0cf-49bbce1a2f5f"
"Dauphin Kings","Dauphin","MB","CA","Parkissimo","association","6ce7b9eb-b663-4490-882f-7dbc23484b71"
"Daveluyville Eagles","Daveluyville","QC","CA","Estrie","association","7baad6e7-614c-4d08-9732-a118d5aff705"
"Davidson Huskies","Davidson","SK","CA","ECMHL","association","01f839c3-0064-4ad2-8cad-8ef3283f9abc"
"Davis County Wind","Bountiful","UT","US","UAHL","association","10ae82bd-d093-416d-af7e-7fa3d185ac27"
"Dawson Creek Canucks","Dawson Creek","BC","CA","APHL","association","5de8ffae-7662-471a-ae97-fa7e2f65b918"
"Dayton Icehounds","Dayton","OH","US","BTHL","association","04cfdc8d-4872-4ef3-bbe4-6a4e9ba14fca"
"Dayton Stealth","Dayton","OH","US","BTHL","association","ad9ba7f9-6ba0-42ec-b420-9f3cf986ac5b"
"DC Titans","Washington","DC","US","CCHL","association","eaaaefa8-299e-4c3c-b3ef-51ac19a3cd08"
"De Pere Voyageurs","De Pere","WI","US","WAHA","association","d575a1e6-06dd-4e95-af5f-5b0a2f304152"
"Dearborn Mustangs","Dearborn","MI","US","LCAHL","association","3e045654-083b-41c8-b8f5-52a209138630"
"Debden Jets","Debden","SK","CA","STEP","association","906263b3-b981-4423-a42e-2f1164051a08"
"Decatur Flames","Decatur","IL","US","MoAm","association","a29170ab-8d46-40e9-949b-2428ac79d337"
"Dedham 67's","Dedham","MA","US","MYCGL","association","618e4718-ef1b-42f3-9813-6ee29ffb3391"
"Deep River Knights","Deep River","ON","CA","UOVMHL","association","3a8bf897-8639-4280-93ab-401f1da6d92f"
"Deer Lake Red Wings","Deer Lake","NL","CA","Independent","association","f84d4993-cdbb-411d-9ecd-261119a26a5e"
"Delano Tigers","Delano","MN","US","MN03","association","d4fb0d14-cbc4-4035-b560-b63ad909c5f8"
"Delaware Ducks","Newark","DE","US","AHF","association","61deccc4-e0b3-4711-9888-2741af7bdcb6"
"Delaware Jr Blue Hens","Newark","DE","US","DVHL","association","a9f017fa-e361-4629-b947-8d5047a94279"
"Delburne Outlaws","Delburne","AB","CA","CAHL","association","e7977ea4-4c6a-4108-8c45-bb557a0646e8"
"Delco Phantoms","Aston","PA","US","DVHL","association","e1c0008a-445e-480d-b447-b9315086a83f"
"Delhi Norwich 59ers","Delhi","ON","CA","OMHA","association","709391fa-5272-4a97-be32-5c851508db3e"
"Delisle Bruins","Delisle","SK","CA","SaskFHL","association","80796e01-5ce7-402f-9a38-61746298a17e"
"Delmarva Raptors","Harrington","DE","US","DVHL","association","08591cad-6d78-48d4-a27c-58913fa551a5"
"Deloraine Royals","Deloraine","MB","CA","SWRHL","association","8ae526a1-f7c1-4c8c-81d0-ce98a2764e32"
"Delson Senators","Delson","QC","CA","LHER","association","2537a597-304a-49c5-a5e5-1ff52e01b805"
"Delta Hockey Academy","Delta","BC","CA","CSSHL","academy","bb88accc-a4be-4061-b9fe-4eb287ade92e"
"Delta Huskies","Delta Junction","AK","US","ASHA","association","a06f5d49-017f-4f1e-93c3-09d3c368fc9d"
"Denver CC","Denver","CO","US","Independent","association","bdc23ebf-3ea1-4f6e-a064-a75fd0e27ff5"
"Denver U Jr Pioneers","Denver","CO","US","CAHA-CO","association","603c801f-8af9-4986-a09e-29ee444ed916"
"Des Moines Jr Bucs","Des Moines","IA","US","MwHL","association","4defc05e-ef3e-4ad9-8038-71b85c57ed9d"
"Des Monts Montagnards","Sainte-Agathe-des-Monts","QC","CA","LH3L","association","2ecb1be8-26f0-4db4-953a-35738519b8b3"
"Deseronto Bulldogs","Deseronto","ON","CA","OMHA","association","49f15aad-3aee-4ab2-b8d2-15b44544f4eb"
"Detroit Bulldogs","Detroit","MI","US","Adray","association","c79451dd-1e51-4d84-8071-571a48822e1f"
"Detroit Jimmy Johns","Redford Township","MI","US","LCAHL","association","61426caf-f749-46b9-beb1-d1a8d26e0497"
"Detroit Lakes Lakers","Detroit Lakes","MN","US","MN15","association","db26224f-4837-4eeb-85ab-9c6aefd11dea"
"Deux-Rives Ecole","Saint-Georges","QC","CA","RSEQ","association","dc1c7792-0cf2-4296-9570-b920bf319a08"
"Devils Lake Flames","Devils Lake","ND","US","NDAHA","association","1cd895d3-da4e-4ddc-9bf1-46710f7175c1"
"Devon Drillers","Devon","AB","CA","EFHL","association","210ac7b4-0b03-4e8d-92da-65c19d96c3a2"
"Dickinson Outlaws","Dickinson","ND","US","NDAHA","association","8c0e26c3-18d1-4f44-8d10-4976f23ea1ec"
"Didsbury Ramblers","Didsbury","AB","CA","CAHL","association","348464b4-5ae1-45d6-b43d-b81d81f402c5"
"Dieppe/Memramcook Eagles","Dieppe","NB","CA","NBCBHL","association","e94d44d3-e497-4d2d-ba9a-7f9b630d4be9"
"DinoMights","Minneapolis","MN","US","MN01","association","abf1d6ef-3015-42a9-9818-00ba03a13346"
"Dinsmore Dynamos","Dinsmore","SK","CA","HW14","association","63d4296e-ae4c-45fc-8ca2-b7fbd406c7cc"
"Discovery Ecole","St Leonard d'Aston","QC","CA","RSEQ","association","16eb3601-5fb3-496e-939d-d02f1283ced5"
"Dix Hills Hawks","Dix Hills","NY","US","HVHL","association","615ad31e-a4e1-4f60-99f0-4c0e3c00f19b"
"DME Swamp Rabbits","Daytona Beach","FL","US","SFHL","association","077d6961-0084-4cdc-ae29-0b29146464c1"
"Dodge County Wildcats","Kasson","MN","US","MN09","association","f506280c-8851-43f6-b73f-1794f439e76b"
"Dodgeville Ice Wolves","Dodgeville","WI","US","WAHA","association","6bd07db3-9803-4c0e-9d8f-972f9f6019ff"
"Dodsland Stars","Dodsland","SK","CA","HW14","association","571ea5e5-e2bf-4807-ae02-2539a6bee650"
"Dolbeau Mistassini Rapides","Mistassini","QC","CA","SLJ","association","639e855c-12bd-4c6e-aa6a-aaa275c53867"
"Dollard des Ormeaux Vipers","Dollard des Ormeaux","QC","CA","LHGM","association","05301bb9-c437-4ba6-b896-7cf4418e4b65"
"Don Mills Flyers","North York","ON","CA","GTHL","association","c07581d4-dc9a-4fd9-b449-52da0bda9762"
"Dorchester Chiefs","Dorchester","MA","US","MYCGL","association","1420787e-a45d-4f2b-bed5-89c64331b4e7"
"Dorchester Dragons","Dorchester","ON","CA","OMHA","association","ab9d37b0-e54a-4b48-965c-7f6658895d45"
"Douglas Ice Cats","Douglas","WY","US","WAHL","association","444970ac-5fce-4329-b56c-43c8a2ccd692"
"Douro Dukes","Douro","ON","CA","EOMHL","association","07df33b7-6c1c-4c26-9f05-b7c5b46a7229"
"Downriver Otters","Southgate","MI","US","LCAHL","association","fe6c7af7-37ea-4672-be27-2ff48391da15"
"DPR Diablos","Pont Rouge","QC","CA","Rive-Nord","association","66b303f1-c8ef-446b-86f4-68604945a6c8"
"Drake Canucks","Drake","SK","CA","ECMHL","association","671b353b-4767-4be0-aa15-fcca35417d40"
"Drayton Defenders","Drayton","ON","CA","OMHA","association","db51100d-13ff-4118-8237-4c693408b393"
"Drayton Valley Stars","Drayton Valley","AB","CA","NEAHL","association","60b9d376-cb0b-4fee-b465-43180e4c12c8"
"Dresden Jr Kings","Dresden","ON","CA","OMHA","association","83880406-fedd-4d3a-b153-df99ca6bc0d9"
"Drumheller Raptors","Drumheller","AB","CA","CAHL","association","8b0a30b2-c5bc-4d62-8be4-ed2ce1bff11c"
"Drummondville Voltigeurs","Drummondville","QC","CA","Estrie","association","812ee396-e335-48c6-963a-07aafc95815b"
"Dryden Paperkings","Dryden","ON","CA","HNO","association","605c5ebb-a5ae-40f2-9c12-f6f8e2d7ce09"
"Dubreuilville Bobcats","Dubreuilville","ON","CA","NOHA","association","a872d792-e3c5-4670-87a0-1285f060c688"
"Dubuque Jr Saints","Dubuque","IA","US","MwHL","association","bc4a3d4f-c952-485b-a94b-f8616cbed362"
"Duchess Storm","Duchess","AB","CA","CAHL","association","4edd8cb9-a43f-4835-acf4-241819f63483"
"Duffield Devils","North York","ON","CA","GTHL","association","9aa383f1-e20c-46f6-ac4d-b7299aad2fc0"
"Duluth Denfeld Hunters","Duluth","MN","US","MN11","association","a0cb29ac-47e4-4e11-87b0-79cd7e83111c"
"Duluth East Greyhounds","Duluth","MN","US","MN11","association","d9b14f0e-43f3-49fd-9b1e-4bfde4ecb124"
"Duluth Icebreakers","Duluth","MN","US","MN11","association","53c38750-6e73-4236-b660-93917a13296c"
"Dundalk Storm","Dundalk","ON","CA","MOMHL","association","9c3bbd54-e1fb-4e41-99ca-0f079b354c92"
"Dundas Blues","Dundas","ON","CA","OMHA","association","058813dd-5a92-480d-b411-23e8a928ee6d"
"Dundurn Arctic Wolves","Dundurn","SK","CA","SVMHL","association","9add8c80-ccbc-4bf9-bb3b-004e5779c1a1"
"Dunnville Mudcats","Dunnville","ON","CA","NDHL","association","7b625209-dadf-4b64-bd9a-292b9f4b9841"
"DuPage Black Bears","Glen Ellyn","IL","US","CSDHL","association","cfe5579d-cb4a-41da-bb9e-41557c9ea323"
"Durango Ice Devils","Durango","CO","US","CAHA-CO","association","7a4e9b97-1e2b-46ce-b3c4-99d91bc014d9"
"Durham Crusaders","Oshawa","ON","CA","EOMHL","association","e7c824b2-d91b-420c-8115-246e38357d23"
"Durham West Lightning","Pickering","ON","CA","OWHA","association","f82d32d9-ae1b-4f36-b085-5178ac8a3d01"
"Duxbury Dragons","Duxbury","MA","US","BSHL","association","9e02c7b5-2e12-4428-a119-048e0efb12dd"
"Eagan Wildcats","Eagan","MN","US","MN08","association","a796c2d1-a3a5-4126-92e6-bb1d74168436"
"Eagan/IGH SpartaCats","Eagan","MN","US","MN08","association","00997be8-1b40-4822-b57c-fc08c7a17865"
"Eagle River Eagles","Eagle River","WI","US","WAHA","association","42d2dc94-20fa-4ee4-9857-4ed7e69d7d75"
"Ear Falls Eagles","Ear Falls","ON","CA","HNO","association","4c2e79a8-4449-4ba0-a5b1-9896002f021c"
"East Aurora Beast","East Aurora","NY","US","WNYAHL","association","dff5a3c5-b77b-42bb-af05-133bf5e3e8b0"
"East Coast Express","Saint John","NB","CA","Independent","association","5cd8941a-97e6-4bbb-8f51-ca616d0c1bb7"
"East Coast Militia","Braintree","MA","US","BEAST","association","bc6cc622-bbf1-48f0-bf12-54ac02c43117"
"East Coast Thunder","Hyannis","MA","US","PHL","association","c0f7c5df-7082-4c79-9e4e-31bedf93d4f1"
"East Coast Valkyries","Lawrenceville","NJ","US","MAWHA","association","a3ea0ab8-6c06-44f5-aee4-1236146ed76c"
"East Coast Wizards","Bedford","MA","US","E9HL","association","c6dcdbb7-ebe1-4e05-b0c4-a511489622c9"
"East Enders Ticats","Toronto","ON","CA","GTHL","association","6c0edbfc-fc9d-4ede-b1ac-f81c625341dd"
"East Grand Forks","East Grand Forks","MN","US","MN16","association","e2e78872-6ba5-4fe8-93e0-469c6960e4a9"
"East Gwillimbury Eagles","Sharon","ON","CA","OMHA","association","005932d4-e52a-41ad-9542-34365e672550"
"East Hants Penguins","Lantz","NS","CA","CMHF","association","91077680-543b-4bcf-9cc4-b8f714330cb0"
"East Haven Yellowjackets","East Haven","CT","US","CHC","association","7e7ae7cd-d955-455c-ac5b-f90966f54ce5"
"East Lambton Eagles","Watford","ON","CA","OMHA","association","b41a3ba1-fbb1-440d-aa2b-23720387b7ae"
"East Metro Stars","Oakdale","MN","US","MN02","association","9cdd9ada-84a2-4dd6-a0e0-598221e1da45"
"East Nipissing Vipers","Astorville","ON","CA","NDHL-N","association","d095b5fa-7456-4822-aa0e-773d1d1ab070"
"East Ottawa Stars","Orleans","ON","CA","OWHL-E","association","679bbf4d-4b27-4251-8408-771d010aba9f"
"East Smoky Rustlers","Crooked Creek","AB","CA","APHL","association","8982d75a-c2b9-4d91-9edd-5ade521bc0ce"
"East Wheatland Coyotes","Standard","AB","CA","CAHL","association","cff731b5-e777-410f-968f-0a24b75dc386"
"East York Bulldogs","Toronto","ON","CA","NYHL","association","f969c6b0-f7b2-4e60-9cab-058c094071d5"
"Eastend Jets","Eastend","SK","CA","SSHL","association","ee540099-65f2-4fca-918d-b6a42493d30e"
"Eastern Mass Senators","Woburn","MA","US","PHL","association","4db0ef43-97c8-4b0f-b0e3-e003a9aaa471"
"Eastern Ontario Cobras","Casselman","ON","CA","HEO","association","6d15f2ce-a0b4-475e-ade0-d1c0210d4850"
"Eastern Ontario Wild","Casselman","ON","CA","HEO","association","228f32fb-4265-4c1e-9aa1-d0abfd4fba06"
"Eastern Quebec Albatross","Riviere-du-Loup","QC","CA","LHEQ","association","4647ae5e-ff07-4085-b434-5b017bb9049d"
"Eastern Shore Mariners","Musquodoboit Harbour","NS","CA","CMHF","association","c4e5dd48-b6b7-4b6c-85b2-962a663e3976"
"Eastman Selects","Oakbank","MB","CA","MMHL","association","4a4433d1-0f87-43fc-97db-3f1511ba84a4"
"Easton Ice Hawks","Easton","MD","US","CBHL","association","31710b17-dac9-41ee-976f-9bf9f2c27b3e"
"Eastside Tigers","Cleveland Heights","OH","US","CSHL","association","dbc9acf0-ef33-4db9-8aa1-2447b375e70f"
"Eastview Lightning","Apple Valley","MN","US","MN08","association","8ef6f61c-ca3e-484e-9246-9f72928e9cce"
"Eatonia","Eatonia","SK","CA","HW14","association","83598eee-50a2-4200-9156-e7cbd2b85331"
"Eau Claire Mustangs","Eau Claire","WI","US","WAHA","association","31a69d98-0879-4673-977b-4166559009e8"
"ECHO Stars","Bolton","CT","US","CHC","association","e1f98f9c-d418-48eb-a8a5-ec792bda3ed8"
"Eckville Eagles","Eckville","AB","CA","CAHL","association","37d58367-b6b3-4003-9339-5934e9a4ab76"
"Edam Three Stars","Edam","SK","CA","HW14","association","d914c15f-7791-457d-bec1-e993480e3f4e"
"Eden Prairie Eagles","Eden Prairie","MN","US","MN06","association","9f5813a2-00d2-4cd8-8816-215f02ecc02b"
"Edgcumbe","St Paul","MN","US","MN01","association","50b79edb-3552-4f92-8460-09378a124b96"
"Edgerton","Edgerton","AB","CA","NEAHL","association","b6d6b990-9076-4202-b42f-3e062ef8e671"
"Edina Hornets","Edina","MN","US","MN06","association","f5ec0c9d-3482-4221-bd9c-5d962d4f908a"
"Edmonton Brave Raiders","Edmonton","AB","CA","EFHL","association","aa45bdd2-f63c-4a45-9b7e-484abbaee157"
"Edmonton CAC","Edmonton","AB","CA","AEHL","association","e39179c9-317e-45bd-9018-9c17fe25a4b5"
"Edmonton Girls","Edmonton","AB","CA","AFHL","association","bb147b29-60e7-4cd9-b3e9-2d1d50c6cdbe"
"Edmonton Hawks","Edmonton","AB","CA","EFHL","association","b58b9d25-8760-474c-9084-203ddf1eadbd"
"Edmonton Ice","Edmonton","AB","CA","AFHL","association","aca53f40-9b6a-440c-a6c4-5c85fe907f9a"
"Edmonton KC","Edmonton","AB","CA","AEHL","association","2804745f-d9c1-4a49-be0e-47f60518a636"
"Edmonton MLAC","Edmonton","AB","CA","AEHL","association","d06ef033-8ac3-4387-a7cb-e511876da7b9"
"Edmonton NEZ Eagles","Edmonton","AB","CA","EFHL","association","5861b53d-09b4-44fe-a4cf-83d54dfe66b1"
"Edmonton Northstars","Edmonton","AB","CA","EFHL","association","673fce7e-909d-4e3e-9319-c825a6f6cf76"
"Edmonton SSAC","Edmonton","AB","CA","AEHL","association","3ea4f291-47bf-46c8-9fe2-ea0ba45550b0"
"Edmundston Blizzard","Edmundston","NB","CA","NBD1&2","association","bd976eda-a796-4146-b3de-aa470fffec8c"
"Edouard Montpetit Ecole","Montreal","QC","CA","RSEQ","association","8a29f661-453a-4811-8a2a-a45ef6b6db2b"
